date,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2014-12-28,15,0,35
2015-01-04,19,0,21
2015-01-11,18,0,23
2015-01-18,28,0,22
2015-01-25,41,0,54
2015-02-01,31,0,42
2015-02-08,28,0,48
2015-02-15,24,0,31
2015-02-22,23,0,29
2015-03-01,24,0,33
2015-03-08,24,0,31
2015-03-15,24,0,46
2015-03-22,23,0,27
2015-03-29,19,0,21
2015-04-05,22,0,31
2015-04-12,20,0,31
2015-04-19,31,0,33
2015-04-26,35,0,31
2015-05-03,27,0,27
2015-05-10,21,0,32
2015-05-17,21,0,21
2015-05-24,18,0,25
2015-05-31,21,0,18
2015-06-07,16,0,24
2015-06-14,20,0,25
2015-06-21,16,0,0
2015-06-28,18,0,19
2015-07-05,23,0,19
2015-07-12,21,0,32
2015-07-19,30,0,31
2015-07-26,24,0,30
2015-08-02,23,0,37
2015-08-09,19,0,0
2015-08-16,20,0,20
2015-08-23,40,0,62
2015-08-30,24,0,19
2015-09-06,21,0,26
2015-09-13,21,0,27
2015-09-20,22,0,23
2015-09-27,22,0,40
2015-10-04,31,0,30
2015-10-11,25,0,42
2015-10-18,39,0,56
2015-10-25,37,0,50
2015-11-01,31,0,38
2015-11-08,26,0,32
2015-11-15,25,0,62
2015-11-22,19,0,33
2015-11-29,28,0,43
2015-12-06,26,0,38
2015-12-13,24,0,31
2015-12-20,19,0,22
2015-12-27,19,0,21
2016-01-03,27,0,29
2016-01-10,28,0,36
2016-01-17,23,0,27
2016-01-24,33,0,28
2016-01-31,29,0,38
2016-02-07,27,0,23
2016-02-14,22,0,32
2016-02-21,24,0,36
2016-02-28,22,0,25
2016-03-06,22,0,20
2016-03-13,21,0,33
2016-03-20,18,0,32
2016-03-27,22,0,25
2016-04-03,21,0,33
2016-04-10,21,0,24
2016-04-17,30,0,22
2016-04-24,29,0,0
2016-05-01,23,0,35
2016-05-08,22,0,19
2016-05-15,20,0,18
2016-05-22,20,0,27
2016-05-29,16,0,0
2016-06-05,17,0,0
2016-06-12,53,0,57
2016-06-19,28,0,36
2016-06-26,22,0,24
2016-07-03,15,0,0
2016-07-10,20,0,25
2016-07-17,36,0,37
2016-07-24,22,0,22
2016-07-31,22,0,31
2016-08-07,17,0,0
2016-08-14,15,0,21
2016-08-21,18,0,0
2016-08-28,18,0,0
2016-09-04,18,0,0
2016-09-11,20,0,21
2016-09-18,22,0,36
2016-09-25,20,0,40
2016-10-02,19,0,25
2016-10-09,18,0,18
2016-10-16,35,0,36
2016-10-23,39,0,42
2016-10-30,29,0,26
2016-11-06,32,0,25
2016-11-13,26,0,23
2016-11-20,20,0,24
2016-11-27,25,0,31
2016-12-04,28,0,37
2016-12-11,29,0,20
2016-12-18,22,0,25
2016-12-25,19,0,0
2017-01-01,23,0,40
2017-01-08,25,0,38
2017-01-15,21,0,28
2017-01-22,37,0,28
2017-01-29,33,0,38
2017-02-05,29,0,51
2017-02-12,31,0,38
2017-02-19,26,50,34
2017-02-26,32,0,48
2017-03-05,30,0,40
2017-03-12,27,0,48
2017-03-19,27,0,32
2017-03-26,29,0,43
2017-04-02,27,0,43
2017-04-09,23,0,29
2017-04-16,25,0,32
2017-04-23,42,0,35
2017-04-30,37,0,48
2017-05-07,37,0,40
2017-05-14,35,0,33
2017-05-21,30,0,42
2017-05-28,28,0,37
2017-06-04,32,0,26
2017-06-11,35,0,45
2017-06-18,33,0,42
2017-06-25,32,0,35
2017-07-02,35,0,0
2017-07-09,31,0,27
2017-07-16,51,0,48
2017-07-23,42,0,38
2017-07-30,35,0,26
2017-08-06,32,0,33
2017-08-13,33,0,28
2017-08-20,26,0,32
2017-08-27,27,0,42
2017-09-03,25,0,35
2017-09-10,32,0,23
2017-09-17,33,0,45
2017-09-24,33,0,0
2017-10-01,33,0,39
2017-10-08,32,0,47
2017-10-15,37,0,36
2017-10-22,61,0,54
2017-10-29,52,0,70
2017-11-05,45,0,51
2017-11-12,40,0,45
2017-11-19,34,0,44
2017-11-26,47,53,70
2017-12-03,48,0,66
2017-12-10,46,0,60
2017-12-17,43,0,57
2017-12-24,33,0,38
2017-12-31,43,0,65
2018-01-07,48,0,49
2018-01-14,49,0,77
2018-01-21,58,0,57
2018-01-28,78,65,70
2018-02-04,82,60,100
2018-02-11,59,56,59
2018-02-18,46,0,62
2018-02-25,52,0,65
2018-03-04,47,0,52
2018-03-11,48,0,50
2018-03-18,52,0,21
2018-03-25,67,0,42
2018-04-01,57,0,43
2018-04-08,47,0,33
2018-04-15,48,0,48
2018-04-22,62,0,37
2018-04-29,47,0,45
2018-05-06,46,49,28
2018-05-13,41,0,26
2018-05-20,38,0,19
2018-05-27,45,0,46
2018-06-03,70,0,57
2018-06-10,48,46,47
2018-06-17,41,0,31
2018-06-24,40,0,23
2018-07-01,31,0,27
2018-07-08,43,0,23
2018-07-15,72,0,69
2018-07-22,70,0,52
2018-07-29,64,0,52
2018-08-05,54,0,45
2018-08-12,52,0,35
2018-08-19,49,0,45
2018-08-26,57,0,47
2018-09-02,55,50,55
2018-09-09,53,0,46
2018-09-16,57,0,41
2018-09-23,54,100,39
2018-09-30,58,0,42
2018-10-07,78,0,56
2018-10-14,62,0,45
2018-10-21,94,0,67
2018-10-28,71,49,48
2018-11-04,57,0,36
2018-11-11,53,0,34
2018-11-18,50,0,42
2018-11-25,82,0,38
2018-12-02,64,0,48
2018-12-09,59,0,33
2018-12-16,64,0,39
2018-12-23,62,65,55
2018-12-30,63,0,37
2019-01-06,63,0,51
2019-01-13,57,0,42
2019-01-20,49,0,35
2019-01-27,72,52,44
2019-02-03,58,0,34
2019-02-10,50,55,31
2019-02-17,49,0,36
2019-02-24,56,0,40
2019-03-03,50,0,36
2019-03-10,58,45,42
2019-03-17,74,54,68
2019-03-24,60,0,31
2019-03-31,63,0,35
2019-04-07,56,0,41
2019-04-14,58,0,31
2019-04-21,100,48,46
2019-04-28,76,0,57
2019-05-05,73,0,61
2019-05-12,71,0,38
2019-05-19,59,0,46
2019-05-26,46,0,33
2019-06-02,65,0,29
2019-06-09,70,0,55
2019-06-16,63,0,33
2019-06-23,59,0,40
2019-06-30,48,0,26
2019-07-07,61,45,38
2019-07-14,84,0,55
2019-07-21,77,0,44
2019-07-28,71,0,35
2019-08-04,75,0,55
2019-08-11,70,0,41
2019-08-18,61,0,37
2019-08-25,59,0,48
2019-09-01,48,0,27
2019-09-08,60,0,38
2019-09-15,66,0,47
2019-09-22,58,0,41
2019-09-29,68,0,50
2019-10-06,57,0,42
2019-10-13,57,0,32
2019-10-20,93,51,81
2019-10-27,96,71,66
2019-11-03,73,0,69
2019-11-10,73,0,53
2019-11-17,78,45,78
2019-11-24,62,0,57
2019-12-01,68,0,60
2019-12-08,67,0,41
2019-12-15,79,0,61
2019-12-22,65,0,51
2019-12-29,76,0,65
